season	week	visitor	host	date	location	neutral
2013	1	purdue	cincinnati	8/31/2013 12:00:00	Cincinnati, OH	
2013	2	cincinnati	illinois	9/7/2013 12:00:00	Champaign, IL	
2013	3	northwesternstate	cincinnati	9/14/2013 19:00:00	Cincinnati, OH	
2013	4	cincinnati	miamiohio	9/21/2013	Oxford, OH	
2013	7	temple	cincinnati	10/11/2013 20:30:00	Cincinnati, OH	
2013	8	connecticut	cincinnati	10/19/2013	Cincinnati, OH	
2013	11	smu	cincinnati	11/9/2013	Cincinnati, OH	
2013	15	louisville	cincinnati	12/5/2013 19:30:00	Cincinnati, OH	
2013	1	towson	connecticut	8/29/2013 19:30:00	East Hartford, CT	
2013	3	maryland	connecticut	9/14/2013 19:30:00	East Hartford, CT	
2013	4	michigan	connecticut	9/21/2013	East Hartford, CT	
2013	5	connecticut	buffalo	9/28/2013	Buffalo, NY	
2013	7	usf	connecticut	10/12/2013	East Hartford, CT	
2013	11	louisville	connecticut	11/8/2013 20:00:00	East Hartford, CT	
2013	14	rutgers	connecticut	11/30/2013	East Hartford, CT	
2013	15	memphis	connecticut	12/7/2013	East Hartford, CT	
2013	1	akron	ucf	8/29/2013 19:30:00	Orlando, FL	
2013	2	ucf	fiu	9/6/2013 20:00:00	Miami, FL	
2013	9	connecticut	ucf	10/26/2013	Orlando, FL	
2013	11	houston	ucf	11/9/2013	Orlando, FL	
2013	13	rutgers	ucf	11/21/2013 19:30:00	Orlando, FL	
2013	14	usf	ucf	11/29/2013	Orlando, FL	
2013	3	middletennessee	memphis	9/14/2013 19:00:00	Memphis, TN	
2013	4	arkansasstate	memphis	9/21/2013 16:30:00	Memphis, TN	
2013	6	ucf	memphis	10/5/2013 16:30:00	Memphis, TN	
2013	8	smu	memphis	10/19/2013 16:30:00	Memphis, TN	
2013	10	cincinnati	memphis	10/30/2013 20:00:00	Memphis, TN	
2013	11	tennmartin	memphis	11/9/2013 16:30:00	Memphis, TN	
2013	14	temple	memphis	11/30/2013 16:30:00	Memphis, TN	
2013	1	rutgers	fresnostate	8/29/2013 22:30:00	Fresno, CA	
2013	2	norfolkstate	rutgers	9/7/2013 12:00:00	Piscataway, NJ	
2013	3	easternmichigan	rutgers	9/14/2013 13:00:00	Piscataway, NJ	
2013	9	houston	rutgers	10/26/2013	Piscataway, NJ	
2013	10	temple	rutgers	11/2/2013 12:00:00	Piscataway, NJ	
2013	12	cincinnati	rutgers	11/16/2013	Piscataway, NJ	
2013	15	usf	rutgers	12/7/2013	Piscataway, NJ	
2013	1	mcneesestate	usf	8/31/2013 19:00:00	Tampa, FL	
2013	3	fau	usf	9/14/2013 19:00:00	Tampa, FL	
2013	6	cincinnati	usf	10/5/2013	Tampa, FL	
2013	9	louisville	usf	10/26/2013	Tampa, FL	
2013	12	memphis	usf	11/16/2013	Tampa, FL	
2013	13	smu	usf	11/23/2013	Tampa, FL	
2013	1	southern	houston	8/30/2013 20:30:00	Houston, TX	
2013	4	houston	rice	9/21/2013 15:00:00	Houston, TX	
2013	5	houston	utsa	9/28/2013	San Antonio, TX	
2013	7	memphis	houston	10/12/2013 12:00:00	Houston, TX	
2013	10	usf	houston	10/31/2013 19:00:00	Houston, TX	
2013	13	cincinnati	houston	11/23/2013	Houston, TX	
2013	14	smu	houston	11/29/2013	Houston, TX	
2013	2	montanastate	smu	9/7/2013 20:00:00	Dallas, TX	
2013	6	rutgers	smu	10/5/2013	Dallas, TX	
2013	9	temple	smu	10/26/2013	Dallas, TX	
2013	12	connecticut	smu	11/16/2013	Dallas, TX	
2013	15	ucf	smu	12/7/2013	Dallas, TX	
2013	2	houston	temple	9/7/2013 12:00:00	Philadelphia, PA	
2013	3	fordham	temple	9/14/2013 13:00:00	Philadelphia, PA	
2013	5	temple	idaho	9/28/2013	Moscow, ID	
2013	6	louisville	temple	10/5/2013	Philadelphia, PA	
2013	8	army	temple	10/19/2013	Philadelphia, PA	
2013	12	ucf	temple	11/16/2013	Philadelphia, PA	
2013	13	connecticut	temple	11/23/2013	Philadelphia, PA	
