sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
1	Air Force	Air Force	Falcons	airforce	Air Force	Air Force	9	0	Air Force Academy, CO				4169E1	E5E5E5							0	0	0	70	0	0000-00-00 00:00:00	1
2	Akron	Akron	Zips	akron	Akron	Akron	8	21	Akron, OH				191970	C7A317							0	0	0	70	0	0000-00-00 00:00:00	1
3	Alabama	Alabama	Crimson Tide	alabama	Alabama	Alabama	6	18	Tuscaloosa, AL				990030	CBCCCE	'						0	0	0	70	0	0000-00-00 00:00:00	1
4	Arizona	Arizona	Wildcats	arizona	Arizona	Arizona	5	0	Tuscon, AZ				002868	E3170D							0	0	0	70	0	0000-00-00 00:00:00	1
5	Arizona State	Arizona State	Sun Devils	arizonastate	Arizona State	Arizona State	5	0	Tempe, AZ				800000	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
6	Arkansas	Arkansas	Razorbacks	arkansas	Arkansas	Arkansas	6	18	Fayetteville, AR				C41E3A	FFFFFF	'						0	0	0	70	0	0000-00-00 00:00:00	1
7	Arkansas State	Arkansas State	Red Wolves	arkansasstate	Arkansas State	Arkansas State	10	0	Jonesboro, AR				FF0000	000000							0	0	0	70	0	0000-00-00 00:00:00	1
8	Army	Army	Black Knights	army	Army	Army	44	0	West Point, NY				000000	CDAD00							0	0	0	70	0	0000-00-00 00:00:00	1
9	Auburn	Auburn	Tigers	auburn	Auburn	Auburn	6	18	Auburn, AL				000059	FF6600	'						0	0	0	70	0	0000-00-00 00:00:00	1
10	Ball State	Ball State	Cardinals	ballstate	Ball State	Ball State	8	22	Muncie, IN				C41E3A	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
11	Baylor	Baylor	Bears	baylor	Baylor	Baylor	4	16	Waco, TX				006400	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
12	Boise State	Boise State	Broncos	boisestate	Boise State	Boise State	11	0	Boise, ID				3A66A7	FF6600							0	0	0	70	0	0000-00-00 00:00:00	1
13	Boston College	Boston College	Eagles	bostoncollege	Boston College	Boston College	1	13	Chestnut Hill, MA				800000	CDAD00							0	0	0	70	0	0000-00-00 00:00:00	1
14	Bowling Green	Bowling Green	Falcons	bowlinggreen	Bowling Green	Bowling Green	8	21	Bowling Green, OH				FF6600	8B2323	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
15	Brigham Young	BYU	Cougars	brighamyoung	Brigham Young	Brigham Young	9	0	Provo, UT				000080	FFFFFF	918151						0	0	0	70	0	0000-00-00 00:00:00	1
16	Buffalo	Buffalo	Bulls	buffalo	Buffalo	Buffalo	8	21	Buffalo, NY				4F94CD	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
17	California	Cal	Golden Bears	california	California	California	5	0	Berkeley, CA				0F4D92	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
18	Central Florida	UCF	Knights	centralflorida	Central Florida	Central Florida	7	19	Orlando, FL				000000	C3A768							0	0	0	70	0	0000-00-00 00:00:00	1
19	Central Michigan	Central Michigan	Chippewas	centralmichigan	Central Michigan	Central Michigan	8	22	Mount Pleasant, MI				9E0040	FFD24F	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
20	Cincinnati	Cincinnati	Bearcats	cincinnati	Cincinnati	Cincinnati	2	0	Cincinnati, OH				000000	E00122							0	0	0	70	0	0000-00-00 00:00:00	1
21	Clemson	Clemson	Tigers	clemson	Clemson	Clemson	1	13	Clemson, SC				FF8000	660066	'						0	0	0	70	0	0000-00-00 00:00:00	1
22	Colorado	Colorado	Buffaloes	colorado	Colorado	Colorado	4	15	Boulder, CO				000000	D4AF37							0	0	0	70	0	0000-00-00 00:00:00	1
23	Colorado State	Colorado State	Rams	coloradostate	Colorado State	Colorado State	9	0	Fort Collins, CO				006633	C0B080							0	0	0	70	0	0000-00-00 00:00:00	1
24	Connecticut	Connecticut	Huskies	connecticut	Connecticut	Connecticut	2	0	Storrs, CT				012157	FFFFFF	C0C0C0						0	0	0	70	0	0000-00-00 00:00:00	1
25	Duke	Duke	Blue Devils	duke	Duke	Duke	1	14	Durham, NC				00009C	FFFFFF	'						0	0	0	70	0	0000-00-00 00:00:00	1
26	East Carolina	East Carolina	Pirates	eastcarolina	East Carolina	East Carolina	7	19	Greenville, NC				5A1D85	FFCC00							0	0	0	70	0	0000-00-00 00:00:00	1
27	Eastern Michigan	Eastern Michigan	Eagles	easternmichigan	Eastern Michigan	Eastern Michigan	8	22	Ypsilanti, MI				0F4D2A	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
28	Florida	Florida	Gators	florida	Florida	Florida	6	17	Gainesville, FL				1034A6	FF6633	'						0	0	0	70	0	0000-00-00 00:00:00	1
29	Florida Atlantic	FAU	Owls	floridaatlantic	Florida Atlantic	Florida Atlantic	10	0	Boca Raton, FL				000099	CC0000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
30	Florida International	FIU	Golden Panthers	floridainternational	Florida International	Florida International	10	0	Miami, FL				002D62	B1953A	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
31	Florida State	Florida State	Seminoles	floridastate	Florida State	Florida State	1	13	Tallahassee, FL				b3005b	CFB53B	'						0	0	0	70	0	0000-00-00 00:00:00	1
32	Fresno State	Fresno State	Bulldogs	fresnostate	Fresno State	Fresno State	11	0	Fresno, CA				D81E05	00008B	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
33	Georgia	Georgia	Bulldogs	georgia	Georgia	Georgia	6	17	Athens, GA				FF0000	000000	'						0	0	0	70	0	0000-00-00 00:00:00	1
34	Georgia Tech	Georgia Tech	Yellow Jackets	georgiatech	Georgia Tech	Georgia Tech	1	14	Atlanta, GA				CFB53B	000000	'						0	0	0	70	0	0000-00-00 00:00:00	1
35	Hawai'i	Hawai'i	Warriors	hawaii	Hawaii	Hawai'i	11	0	Honolulu, HI				4F7942	C0C0C0	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
36	Houston	Houston	Cougars	houston	Houston	Houston	7	20	Houston, TX				FF2400	FFFFFF	000080						0	0	0	70	0	0000-00-00 00:00:00	1
37	Idaho	Idaho	Vandals	idaho	Idaho	Idaho	11	0	Moscow, ID				000000	C5B358	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
38	Illinois	Illinois	Fighting Illini	illinois	Illinois	Illinois	3	0	Champaign, IL				000080	FF7F00							0	0	0	70	0	0000-00-00 00:00:00	1
39	Indiana	Indiana	Hoosiers	indiana	Indiana	Indiana	3	0	Bloomington, IN				7D110C	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
40	Iowa	Iowa	Hawkeyes	iowa	Iowa	Iowa	3	0	Iowa City, IA				000000	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
41	Iowa State	Iowa State	Cyclones	iowastate	Iowa State	Iowa State	4	15	Ames, IA				C41E3A	FFCC33	000066						0	0	0	70	0	0000-00-00 00:00:00	1
42	Kansas	Kansas	Jayhawks	kansas	Kansas	Kansas	4	15	Lawrences, KS				0022B4	E8000D							0	0	0	70	0	0000-00-00 00:00:00	1
43	Kansas State	Kansas State	Wildcats	kansasstate	Kansas State	Kansas State	4	15	Manhattan, KS				800080	C9C0BB							0	0	0	70	0	0000-00-00 00:00:00	1
44	Kent State	Kent State	Golden Flashes	kentstate	Kent State	Kent State	8	21	Kent, OH				000080	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
45	Kentucky	Kentucky	Wildcats	kentucky	Kentucky	Kentucky	6	17	Lexington, KY				1E57A0	FFFFFF	'						0	0	0	70	0	0000-00-00 00:00:00	1
46	Louisiana Tech	Louisiana Tech	Bulldogs	louisianatech	Louisiana Tech	Louisiana Tech	11	0	Ruston, LA				002F8B	FF0000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
47	Louisiana-Lafayette	Louisiana-Lafayette	Ragin' Cajuns	louisiana-lafayette	Louisiana-Lafayette	Louisiana-Lafayette	10	0	Lafayette, LA				E34234	F5A60D	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
48	Louisiana-Monroe	Louisiana-Monroe	Warhawks	louisiana-monroe	Louisiana-Monroe	Louisiana-Monroe	10	0	Monroe, LA				660000	A39058	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
49	Louisville	Louisville	Cardinals	louisville	Louisville	Louisville	2	0	Louisville, KY				C41E3A	000000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
50	LSU	LSU	Tigers	lsu	LSU	LSU	6	18	Baton Rouge, LA				694B94	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
51	Marshall	Marshall	Thundering Herd	marshall	Marshall	Marshall	7	19	Huntington, WV				006633	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
52	Maryland	Maryland	Terrapins	maryland	Maryland	Maryland	1	13	College Park, MD				ff0000	ffcc00	'						0	0	0	70	0	0000-00-00 00:00:00	1
53	Memphis	Memphis	Tigers	memphis	Memphis	Memphis	7	19	Memphis, TN				0A1691	CBCBCB	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
54	Miami	Miami	Hurricanes	miami	Miami	Miami	1	14	Miami Gardens, FL				006600	FF6600	'						0	0	0	70	0	0000-00-00 00:00:00	1
55	Miami (OH)	Miami (OH)	Redhawks	miami-ohio	Miami (OH)	Miami (OH)	8	21	Oxford, OH				DC143C	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
56	Michigan	Michigan	Wolverines	michigan	Michigan	Michigan	3	0	Ann Arbor, MI				010066	FFCC00							0	0	0	70	0	0000-00-00 00:00:00	1
57	Michigan State	Michigan State	Spartans	michiganstate	Michigan State	Michigan State	3	0	East Lansing, MI				006633	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
58	Middle Tennessee	Middle Tennessee	Blue Raiders	middletennessee	Middle Tennessee	Middle Tennessee	10	0	Murfreesboro, TN				002366	CCCCCC	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
59	Minnesota	Minnesota	Golden Gophers	minnesota	Minnesota	Minnesota	3	0	Minneapolis, MN				800000	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
60	Mississippi State	Mississippi State	Bulldogs	mississippistate	Mississippi State	Mississippi State	6	18	Starkville, MS				660000	FFFFFF	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
61	Missouri	Missouri	Tigers	missouri	Missouri	Missouri	4	15	Columbia, MO				000000	FFCC33							0	0	0	70	0	0000-00-00 00:00:00	1
62	Navy	Navy	Midshipmen	navy	Navy	Navy	44	0	Annapolis, MD				000080	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
63	NC State	NC State	Wolfpack	ncstate	NC State	North Carolina State	1	13	Raleigh, NC				EE0000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
64	Nebraska	Nebraska	Cornhuskers	nebraska	Nebraska	Nebraska	4	15	Lincoln, NE				FF1921	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
65	Nevada	Nevada	Wolf Pack	nevada	Nevada	Nevada	11	0	Reno, NV				003366	999999	807f84						0	0	0	70	0	0000-00-00 00:00:00	1
66	New Mexico	New Mexico	Lobos	newmexico	New Mexico	New Mexico	9	0	Albuquerque, NM				CC0000	D7D7D7	000000						0	0	0	70	0	0000-00-00 00:00:00	1
67	New Mexico State	New Mexico State	Aggies	newmexicostate	New Mexico State	New Mexico State	11	0	Las Cruces, NM				882345	B1B1B1	000000						0	0	0	70	0	0000-00-00 00:00:00	1
68	North Carolina	North Carolina	Tar Heels	northcarolina	North Carolina	North Carolina	1	14	Chapel Hill, NC				99BADD	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
69	North Texas	North Texas	Mean Green	northtexas	North Texas	North Texas	10	0	Denton, TX				006434	000000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
70	Northern Illinois	Northern Illinois	Huskies	northernillinois	Northern Illinois	Northern Illinois	8	22	DeKalb, IL				CC3333	000000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
71	Northwestern	Northwestern	Wildcats	northwestern	Northwestern	Northwestern	3	0	Evanston, IL				520063	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
72	Notre Dame	Notre Dame	Figthing Irish	notredame	Notre Dame	Notre Dame	2	0	South Bend, IN				000080	D4AF37							0	0	0	70	0	0000-00-00 00:00:00	1
