acc	Atlantic Coast Conference	ACC
sec	Southeastern Conference	SEC
big10	Big Ten Conference	B1G
big12	Big XII Conference	Big XII
pac12	Pacific 12 Conference	PAC-12
mwc	Mountain West Conference	Mountain West
mac	Mid-American Conference	MAC
aac	American Athletic Conference	AAC
cusa	Conference USA	C-USA
sunbelt	Sun Belt Conference	Sun Belt
ind	Division I - FBS Independents	Independents
socon	Southern Conference	SoCon
ovc	Ohio Valley Conference	Ohio Valley
mvc	Missouri Valley Conference	Missouri Valley
swac	Southwestern Athletic Conference	SWAC
meac	Mid-Eastern Athletic Conference	MEAC
southland	Southland Conference	Southland
bigsouth	Big South Conferenc	Big South
ivy	Ivy League	Ivy League
bigsky	Big Sky Conference	Big Sky
