2013	1	ohio	louisville	9/1/13 3:30 PM	Louisville, KY			noslate
2013	2	easternkentucky	louisville	9/7/13 12:00 PM	Louisville, KY	
2013	3	louisville	kentucky	9/14/13 12:00 PM	Lexington, KY	
2013	4	fiu	louisville	9/21/13 12:00 PM	Louisville, KY	
2013	6	louisville	temple	10/5/13	Philadelphia, PA	
2013	7	rutgers	louisville	10/10/13 7:30 PM	Louisville, KY	
2013	8	ucf	louisville	10/18/13 8:00 PM	Louisville, KY	
2013	9	louisville	usf	10/26/13	Tampa, FL	
2013	11	louisville	connecticut	11/8/13 8:00 PM	East Hartford, CT	
2013	12	houston	louisville	11/16/13	Louisville, KY	
2013	13	memphis	louisville	11/23/13	Louisville, KY	
2013	15	louisville	cincinnati	12/5/13 7:30 PM	Cincinnati, OH	
