2014	1	rice	notredame	8/30/14	Notre Dame, IN	
2014	2	michigan	notredame	9/6/14	Notre Dame, IN	
2014	3	purdue	notredame	9/13/14	Indianapolis, IN	neutral
2014	5	notredame	syracuse	9/27/14	Syracuse, NY	
2014	6	stanford	notredame	10/4/14	Notre Dame, IN	
2014	7	northcarolina	notredame	10/11/14	Notre Dame, IN	
2014	8	notredame	floridastate	10/18/14	Tallahassee, FL	
2014	10	notredame	navy	11/1/14	Landover, MD	neutral
2014	11	notredame	arizonastate	11/8/14	Tempe, AZ	
2014	12	northwestern	notredame	11/15/14	Notre Dame, IN	
2014	13	louisville	notredame	11/22/14	Notre Dame, IN	
2014	14	notredame	usc	11/29/14	Los Angeles, CA
	
